file,context,context_pos,target_word,gloss,is_proper_gloss,wn_index,sense_full
./semcor3.0/brownv/br-a19.naf,The Baltimore and Ohio_Railroad yesterday it would reduce the total amount of its,The_DT Baltimore_NNP and_CC Ohio_Railroad_NNP yesterday_NN it_PRP would_MD reduce_VB the_DT total_JJ amount_NN of_IN its_PRP,w4,make known; make an announcement,True,announce%2:32:00::,announce.v.01
./semcor3.0/brownv/br-a19.naf,The Baltimore and Ohio_Railroad announced yesterday it would the total amount of its payroll by 10 per_cent,The_DT Baltimore_NNP and_CC Ohio_Railroad_NNP announced_VB yesterday_NN it_PRP would_MD the_DT total_JJ amount_NN of_IN its_PRP $ payroll_NN by_IN 10_CD,w8,cut down on; make a reduction in,True,reduce%2:30:00::,reduce.v.01
./semcor3.0/brownv/br-a19.naf,at 12.01 A._M . next Saturday The current monthly payroll to about 15000000 Howard_E._Simpson the railroad 's president said,effective_JJ at_IN 12.01_CD A._M._NNP next_JJ Saturday_NNP The_DT current_JJ monthly_JJ payroll_NN to_VB about_IN 15000000_CD Howard_E._Simpson_NNP the_DT railroad_NN 's_POS president_NN said_VB,w34,add up in number or quantity,True,come%2:42:12::,total.v.01
./semcor3.0/brownv/br-a19.naf,15000000 Howard_E._Simpson the railroad 's president said A drastic decline freight loading due principally to the severe slump in,15000000_CD Howard_E._Simpson_NNP the_DT railroad_NN 's_POS president_NN said_VB A_DT drastic_JJ decline_NN freight_NN loading_NN due_JJ principally_RB to_TO the_DT severe_JJ slump_NN in_IN,w47,express in words,True,say%2:32:00::,state.v.01
./semcor3.0/brownv/br-a19.naf,of heavy goods has necessitated this regrettable action The reduction expenses will affect employees in the thirteen states in_which,of_IN heavy_JJ goods_NNS has_VBZ necessitated_VB this_DT regrettable_JJ action_NN The_DT reduction_NN expenses_NNS will_MD affect_VB employees_NNS in_IN the_DT thirteen_CD states_NNS in_which_RB,w69,cause to be a concomitant,True,necessitate%2:42:01::,necessitate.v.02
./semcor3.0/brownv/br-a19.naf,expenses will affect employees in the thirteen states in_which the O. operates It will be accomplished in_two_ways A flat,expenses_NNS will_MD affect_VB employees_NNS in_IN the_DT thirteen_CD states_NNS in_which_RB the_DT O._NNP operates_VB It_PRP will_MD be_VB accomplished_VB in_two_ways_RB A_DT flat_JJ,w80,connect closely and often incriminatingly,True,affect%2:42:00::,involve.v.01
./semcor3.0/brownv/br-a19.naf,O. operates It will be accomplished in_two_ways A flat reduction 10 per_cent in the salary of all officers supervisors,O._NNP operates_VB It_PRP will_MD be_VB accomplished_VB in_two_ways_RB A_DT flat_JJ reduction_NN 10_CD per_cent_NN in_IN the_DT salary_NN of_IN all_DT officers_NNS supervisors_NNS,w91,"direct or control; projects, businesses, etc.",True,operate%2:41:00::,operate.v.01
./semcor3.0/brownv/br-a19.naf,accomplished in_two_ways A flat reduction of 10 per_cent in the of all officers supervisors and other employees not belonging_to,accomplished_VB in_two_ways_RB A_DT flat_JJ reduction_NN of_IN 10_CD per_cent_NN in_IN the_DT of_IN all_DT officers_NNS supervisors_NNS and_CC other_JJ employees_NNS not_RB belonging_to_VB,w96,put in effect,True,accomplish%2:36:00::,carry_through.v.01
./semcor3.0/brownv/br-a19.naf,There are about 3325 officers and employees in_this class Sufficient of union employees to bring_about a 10 per_cent cut,There_EX are_VB about_RB 3325_CD officers_NNS and_CC employees_NNS in_this_RB class_NN Sufficient_JJ of_IN union_NN employees_NNS to_TO bring_about_VB a_DT 10_CD per_cent_NN cut_NN,w117,be a part or adjunct,True,belong_to%2:42:00::,belong_to.v.01
./semcor3.0/brownv/br-a19.naf,officers and employees in_this class Sufficient lay-offs of union employees bring_about a 10 per_cent cut in the union payroll,officers_NNS and_CC employees_NNS in_this_RB class_NN Sufficient_JJ lay-offs_NNS of_IN union_NN employees_NNS bring_about_VB a_DT 10_CD per_cent_NN cut_NN in_IN the_DT union_NN payroll_NN,w121,"have an existence, be extant",True,be%2:42:00::,exist.v.01
./semcor3.0/brownv/br-a19.naf,individual union_members under contract it must accomplish its payroll reduction placing some of the men on furlough a B.,union_members_NN under_IN contract_NN it_PRP must_MD accomplish_VB its_PRP $ payroll_NN reduction_NN placing_VB some_DT of_IN the_DT men_NNS on_IN furlough_NN a_DT B._NNP,w151,cut down on; make a reduction in,True,reduce%2:30:00::,reduce.v.01
./semcor3.0/brownv/br-a19.naf,placing some of the men on furlough a B. O. said Those union_members kept on their jobs therefore will,placing_VB some_DT of_IN the_DT men_NNS on_IN furlough_NN a_DT B._NNP O._NNP said_VB Those_DT union_members_NN kept_VB on_VB their_PRP $ jobs_NNS therefore_RB,w162,put in effect,True,accomplish%2:36:00::,carry_through.v.01
./semcor3.0/brownv/br-a19.naf,on furlough a B. O. spokesman said Those union_members kept their jobs therefore will not take a cut in,on_IN furlough_NN a_DT B._NNP O._NNP spokesman_NN said_VB Those_DT union_members_NN kept_VB their_PRP $ jobs_NNS therefore_RB will_MD not_RB take_VB a_DT cut_NN,w167,place somebody in a particular situation or location,True,place%2:41:01::,place.v.02
./semcor3.0/brownv/br-a19.naf,therefore will not take a cut in their wages The said the number to be furloughed can not be,jobs_NNS therefore_RB will_MD not_RB take_VB a_DT cut_NN in_IN their_PRP $ The_DT spokesman_NN said_VB the_DT number_NN to_TO be_VB furloughed_VB cannot_MD,w180,express in words,True,say%2:32:00::,state.v.01
./semcor3.0/brownv/br-a19.naf,a cut in their wages The spokesman said the number be furloughed can not be estimated since the lay-offs,take_VB a_DT cut_NN in_IN their_PRP $ wages_NNS The_DT spokesman_NN said_VB number_NN to_TO be_VB furloughed_VB cannot_MD be_VB estimated_VB since_IN the_DT,w184,"keep in a certain state, position, or activity; e.g.,",True,keep%2:42:00::,keep.v.01
