id,sentence,sense_keys,glosses,target
d000.s000.t000,This [TGT] document [TGT] is a summary of the European Public Assessment Report ( EPAR ) .,"['document%1:10:00::', 'document%1:21:00::', 'document%1:10:01::', 'document%1:06:00::']","['writing that provides information (especially information of an official nature)', 'a written account of ownership or obligation', '(computer science) a computer file that contains text (and possibly formatting instructions) using seven-bit ASCII characters', ""anything serving as a representation of a person's thinking by means of symbolic marks""]",[0]
d000.s000.t001,This document is a [TGT] summary [TGT] of the European Public Assessment Report ( EPAR ) .,['summary%1:10:00::'],['a brief statement that presents the main points in a concise form'],[0]
d000.s000.t002,This document is a summary of the [TGT] European [TGT] Public Assessment Report ( EPAR ) .,['european%3:01:00::'],['of or relating to or characteristic of Europe or the people of Europe'],[0]
d000.s000.t003,This document is a summary of the European [TGT] Public [TGT] Assessment Report ( EPAR ) .,"['public%5:00:00:common:02', 'public%3:00:00::']","['affecting the people or community as a whole', 'not private; open to or concerning the people as a whole']",[1]
d000.s000.t004,This document is a summary of the European Public [TGT] Assessment [TGT] Report ( EPAR ) .,"['assessment%1:04:00::', 'assessment%1:09:00::', 'assessment%1:07:00::', 'assessment%1:21:00::']","['the act of judging or assessing a person or situation or event', 'the classification of someone or something with respect to its worth', 'the market value set on assets', 'an amount determined as payable']",[0]
d000.s000.t005,This document is a summary of the European Public Assessment [TGT] Report [TGT] ( EPAR ) .,"['report%1:10:01::', 'report%1:09:00::', 'report%1:10:04::', 'report%1:10:00::', 'report%1:11:00::', 'report%1:10:03::', 'report%1:10:02::']","['the act of informing by verbal report', 'the general estimation that the public has for a person', ""a written evaluation of a student's scholarship and deportment"", 'a short account of the news', 'a sharp explosive sound (especially the sound of a gun firing)', 'a written document describing the findings of some individual or group', 'an essay (especially one written as an assignment)']",[5]
d000.s001.t000,"It [TGT] explains [TGT] how the Committee for Medicinal Products for Human Use ( CHMP ) assessed the studies performed , to reach their recommendations on how to use the medicine .","['explain%2:32:02::', 'explain%2:32:00::', 'explain%2:32:01::']","['serve as a reason or cause or justification of', 'make plain and comprehensible', 'define']","[2, 1]"
d000.s001.t001,"It explains how the [TGT] Committee [TGT] for Medicinal Products for Human Use ( CHMP ) assessed the studies performed , to reach their recommendations on how to use the medicine .","['committee%1:14:00::', 'committee%1:14:01::']","['a special group delegated to consider some matter;  - Milton Berle', 'a self-constituted organization to promote something']",[0]
d000.s001.t002,"It explains how the Committee for [TGT] Medicinal [TGT] Products for Human Use ( CHMP ) assessed the studies performed , to reach their recommendations on how to use the medicine .",['medicinal%5:00:00:healthful:00'],['having the properties of medicine'],[0]
d000.s001.t003,"It explains how the Committee for Medicinal [TGT] Products [TGT] for Human Use ( CHMP ) assessed the studies performed , to reach their recommendations on how to use the medicine .","['product%1:06:01::', 'product%1:19:00::', 'product%1:27:00::', 'product%1:14:00::', 'product%1:06:00::', 'product%1:09:00::']","['commodities offered for sale', ""a consequence of someone's efforts or of a particular set of circumstances"", 'a chemical substance formed as a result of a chemical reaction', 'the set of elements common to two or more sets', 'an artifact that has been created by someone or some process', 'a quantity obtained by multiplication']",[4]
